season_name,season_url,year,stats_url
2024-25 Summary,https://www.sports-reference.com/cbb/seasons/men/2025.html,2025,https://www.sports-reference.com/cbb/seasons/men/2025-school-stats.html
2023-24 Summary,https://www.sports-reference.com/cbb/seasons/men/2024.html,2024,https://www.sports-reference.com/cbb/seasons/men/2024-school-stats.html
2022-23 Summary,https://www.sports-reference.com/cbb/seasons/men/2023.html,2023,https://www.sports-reference.com/cbb/seasons/men/2023-school-stats.html
2021-22 Summary,https://www.sports-reference.com/cbb/seasons/men/2022.html,2022,https://www.sports-reference.com/cbb/seasons/men/2022-school-stats.html
2020-21 Summary,https://www.sports-reference.com/cbb/seasons/men/2021.html,2021,https://www.sports-reference.com/cbb/seasons/men/2021-school-stats.html
2019-20 Summary,https://www.sports-reference.com/cbb/seasons/men/2020.html,2020,https://www.sports-reference.com/cbb/seasons/men/2020-school-stats.html
2018-19 Summary,https://www.sports-reference.com/cbb/seasons/men/2019.html,2019,https://www.sports-reference.com/cbb/seasons/men/2019-school-stats.html
2017-18 Summary,https://www.sports-reference.com/cbb/seasons/men/2018.html,2018,https://www.sports-reference.com/cbb/seasons/men/2018-school-stats.html
2016-17 Summary,https://www.sports-reference.com/cbb/seasons/men/2017.html,2017,https://www.sports-reference.com/cbb/seasons/men/2017-school-stats.html
2015-16 Summary,https://www.sports-reference.com/cbb/seasons/men/2016.html,2016,https://www.sports-reference.com/cbb/seasons/men/2016-school-stats.html
2014-15 Summary,https://www.sports-reference.com/cbb/seasons/men/2015.html,2015,https://www.sports-reference.com/cbb/seasons/men/2015-school-stats.html
2013-14 Summary,https://www.sports-reference.com/cbb/seasons/men/2014.html,2014,https://www.sports-reference.com/cbb/seasons/men/2014-school-stats.html
2012-13 Summary,https://www.sports-reference.com/cbb/seasons/men/2013.html,2013,https://www.sports-reference.com/cbb/seasons/men/2013-school-stats.html
2011-12 Summary,https://www.sports-reference.com/cbb/seasons/men/2012.html,2012,https://www.sports-reference.com/cbb/seasons/men/2012-school-stats.html
2010-11 Summary,https://www.sports-reference.com/cbb/seasons/men/2011.html,2011,https://www.sports-reference.com/cbb/seasons/men/2011-school-stats.html
2009-10 Summary,https://www.sports-reference.com/cbb/seasons/men/2010.html,2010,https://www.sports-reference.com/cbb/seasons/men/2010-school-stats.html
2008-09 Summary,https://www.sports-reference.com/cbb/seasons/men/2009.html,2009,https://www.sports-reference.com/cbb/seasons/men/2009-school-stats.html
2007-08 Summary,https://www.sports-reference.com/cbb/seasons/men/2008.html,2008,https://www.sports-reference.com/cbb/seasons/men/2008-school-stats.html
2006-07 Summary,https://www.sports-reference.com/cbb/seasons/men/2007.html,2007,https://www.sports-reference.com/cbb/seasons/men/2007-school-stats.html
2005-06 Summary,https://www.sports-reference.com/cbb/seasons/men/2006.html,2006,https://www.sports-reference.com/cbb/seasons/men/2006-school-stats.html
2004-05 Summary,https://www.sports-reference.com/cbb/seasons/men/2005.html,2005,https://www.sports-reference.com/cbb/seasons/men/2005-school-stats.html
2003-04 Summary,https://www.sports-reference.com/cbb/seasons/men/2004.html,2004,https://www.sports-reference.com/cbb/seasons/men/2004-school-stats.html
2002-03 Summary,https://www.sports-reference.com/cbb/seasons/men/2003.html,2003,https://www.sports-reference.com/cbb/seasons/men/2003-school-stats.html
2001-02 Summary,https://www.sports-reference.com/cbb/seasons/men/2002.html,2002,https://www.sports-reference.com/cbb/seasons/men/2002-school-stats.html
2000-01 Summary,https://www.sports-reference.com/cbb/seasons/men/2001.html,2001,https://www.sports-reference.com/cbb/seasons/men/2001-school-stats.html
1999-00 Summary,https://www.sports-reference.com/cbb/seasons/men/2000.html,2000,https://www.sports-reference.com/cbb/seasons/men/2000-school-stats.html
